"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"7933",74,0.2,0,3.1,0.8,0.8,0.1,0.039,"A"
"7936",692,7,0.9,13,0,11,1,0.394,"B"
"7938",1310,6,4.1,57,57,7,0.4,0.157,"D"
"7939",1562.2,37,4.9,8.3,0.8,2.1,0.7,0.276,"D"
"7940",718,11,4.4,4.8,1,13,2,0.787,"D"
"7941",727,5.9,2.3,0.8,0.8,29.1,4,1.575,"D"
"7943",3761,100,16,0,0,0,0,0,"D"
"7944",3761,100,14,0,0,0,0,0,"D"
"7945",3761,100,14,0,0,0,0,0,"E"
"7946",3761,100,14,0,0,0,0,0,"D"
"7947",3761,100,14,0,0,0,0,0,"D"
"7948",3586,100,14,0,0,0,0,0,"D"
"7949",3761,100,14,0,0,0,0,0,"E"
"7950",3761,100,14,0,0,0,0,0,"E"
"7951",3347,100,14,0,0,0,0,0,"D"
"7952",3761,100,14,0,0,0,0,0,"E"
"7953",3761,100,14,0,0,0,0,0,"D"
